Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
UNITED STATES OF AMERICA (THE),US Dollar,USD,840,2,
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP,826,2,
EUROPEAN UNION,Euro,EUR,978,2,
JAPAN,Yen,JPY,392,0,
CANADA,Canadian Dollar,CAD,124,2,
AUSTRALIA,Australian Dollar,AUD,036,2,
CHINA,Yuan Renminbi,CNY,156,2,
SWITZERLAND,Swiss Franc,CHF,756,2,
UNITED ARAB EMIRATES (THE),UAE Dirham,AED,784,2,
AFGHANISTAN,Afghani,AFN,971,2,
ALBANIA,Lek,ALL,008,2,
ALGERIA,Algerian Dinar,DZD,012,2,
ANGOLA,Kwanza,AOA,973,2,
ARGENTINA,Argentine Peso,ARS,032,2,
ARUBA,Aruban Florin,AWG,533,2,
AUSTRIA,Euro,EUR,978,2,
BAHRAIN,Bahraini Dinar,BHD,048,3,
BANGLADESH,Taka,BDT,050,2,
BARBADOS,Barbados Dollar,BBD,052,2,
BELGIUM,Euro,EUR,978,2,
BELIZE,Belize Dollar,BZD,084,2,
BERMUDA,Bermudian Dollar,BMD,060,2,
BHUTAN,Ngultrum,BTN,064,2,
BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,068,2,
BOTSWANA,Pula,BWP,072,2,
BRAZIL,Brazilian Real,BRL,986,2,
BRUNEI DARUSSALAM,Brunei Dollar,BND,096,2,
BULGARIA,Bulgarian Lev,BGN,975,2,
CHILE,Chilean Peso,CLP,152,0,
COLOMBIA,Colombian Peso,COP,170,2,
COSTA RICA,Costa Rican Colon,CRC,188,2,
CROATIA,Euro,EUR,978,2,
CUBA,Cuban Peso,CUP,192,2,
CYPRUS,Euro,EUR,978,2,
CZECHIA,Czech Koruna,CZK,203,2,
DENMARK,Danish Krone,DKK,208,2,
DOMINICAN REPUBLIC (THE),Dominican Peso,DOP,214,2,
EGYPT,Egyptian Pound,EGP,818,2,
EL SALVADOR,US Dollar,USD,840,2,
FIJI,Fiji Dollar,FJD,242,2,
FRANCE,Euro,EUR,978,2,
GERMANY,Euro,EUR,978,2,
GHANA,Ghana Cedi,GHS,936,2,
GIBRALTAR,Gibraltar Pound,GIP,292,2,
GREECE,Euro,EUR,978,2,
GUATEMALA,Quetzal,GTQ,320,2,
GUYANA,Guyana Dollar,GYD,328,2,
HAITI,Gourde,HTG,332,2,
HONDURAS,Lempira,HNL,340,2,
HONG KONG,Hong Kong Dollar,HKD,344,2,
HUNGARY,Forint,HUF,348,2,
ICELAND,Iceland Krona,ISK,352,0,
INDIA,Indian Rupee,INR,356,2,
INDONESIA,Rupiah,IDR,360,2,
ISRAEL,New Israeli Sheqel,ILS,376,2,
ITALY,Euro,EUR,978,2,
JAMAICA,Jamaican Dollar,JMD,388,2,
JORDAN,Jordanian Dinar,JOD,400,3,
KAZAKHSTAN,Tenge,KZT,398,2,
KENYA,Kenyan Shilling,KES,404,2,
KOREA (THE REPUBLIC OF),Won,KRW,410,0,
KUWAIT,Kuwaiti Dinar,KWD,414,3,
KYRGYZSTAN,Som,KGS,417,2,
LAO PEOPLE'S DEMOCRATIC REPUBLIC (THE),Lao Kip,LAK,418,2,
LEBANON,Lebanese Pound,LBP,422,2,
LESOTHO,Loti,LSL,426,2,
MACAO,Pataca,MOP,446,2,
MALAYSIA,Malaysian Ringgit,MYR,458,2,
MALDIVES,Rufiyaa,MVR,462,2,
MAURITIUS,Mauritius Rupee,MUR,480,2,
MEXICO,Mexican Peso,MXN,484,2,
MONGOLIA,Tugrik,MNT,496,2,
MOROCCO,Moroccan Dirham,MAD,504,2,
MOZAMBIQUE,Mozambique Metical,MZN,943,2,
NAMIBIA,Namibia Dollar,NAD,516,2,
NEPAL,Nepalese Rupee,NPR,524,2,
NETHERLANDS (THE),Euro,EUR,978,2,
NEW ZEALAND,New Zealand Dollar,NZD,554,2,
NICARAGUA,Cordoba Oro,NIO,558,2,
NIGERIA,Naira,NGN,566,2,
NORWAY,Norwegian Krone,NOK,578,2,
OMAN,Rial Omani,OMR,512,3,
PAKISTAN,Pakistan Rupee,PKR,586,2,
PANAMA,Balboa,PAB,590,2,
PAPUA NEW GUINEA,Kina,PGK,598,2,
PARAGUAY,Guarani,PYG,600,0,
PERU,Sol,PEN,604,2,
PHILIPPINES (THE),Philippine Peso,PHP,608,2,
POLAND,Zloty,PLN,985,2,
PORTUGAL,Euro,EUR,978,2,
QATAR,Qatari Rial,QAR,634,2,
ROMANIA,Romanian Leu,RON,946,2,
RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643,2,
SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA,Saint Helena Pound,SHP,654,2,
SAMOA,Tala,WST,882,2,
SAUDI ARABIA,Saudi Riyal,SAR,682,2,
SERBIA,Serbian Dinar,RSD,941,2,
SEYCHELLES,Seychelles Rupee,SCR,690,2,
SINGAPORE,Singapore Dollar,SGD,702,2,
SOLOMON ISLANDS,Solomon Islands Dollar,SBD,090,2,
SOMALIA,Somali Shilling,SOS,706,2,
SOUTH AFRICA,Rand,ZAR,710,2,
SPAIN,Euro,EUR,978,2,
SRI LANKA,Sri Lanka Rupee,LKR,144,2,
SURINAME,Surinam Dollar,SRD,968,2,
SWEDEN,Swedish Krona,SEK,752,2,
TAIWAN (PROVINCE OF CHINA),New Taiwan Dollar,TWD,901,2,
TANZANIA, UNITED REPUBLIC OF,Tanzanian Shilling,TZS,834,2,
THAILAND,Baht,THB,764,2,
TONGA,Pa'anga,TOP,776,2,
TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,780,2,
TUNISIA,Tunisian Dinar,TND,788,3,
TURKEY,Turkish Lira,TRY,949,2,
UGANDA,Uganda Shilling,UGX,800,0,
UKRAINE,Hryvnia,UAH,980,2,
URUGUAY,Peso Uruguayo,UYU,858,2,
UZBEKISTAN,Uzbekistan Sum,UZS,860,2,
VANUATU,Vatu,VUV,548,0,
VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolívar Soberano,VES,928,2,
VIET NAM,Dong,VND,704,0,
YEMEN,Yemeni Rial,YER,886,2,
ZAMBIA,Zambian Kwacha,ZMW,967,2,
ZIMBABWE,Zimbabwe Dollar,ZWL,932,2,
